,Unnamed: 0,date,species,year,biogeo_x,canton_x,river_x,lot_x,forest_x,project_x,city_x,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date,genus,month,x,y,description,biogeo_y,canton_y,river_y,lot_y,forest_y,project_y,city_y
0,0,2020-09-02,plantago-lanceolata,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",plantago,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
1,1,2020-09-02,centaurea-nigra,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,ns,X,X,X,X,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",centaurea,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
2,2,2020-09-02,plantago-media,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",plantago,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
3,3,2020-09-02,chenopodium-album,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Amaranthaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",chenopodium,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
4,4,2020-09-02,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",centaurea,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
5,5,2020-09-02,veronica-persica,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",veronica,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
6,6,2020-09-02,geranium-pyrenaicum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",geranium,9,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
7,7,2020-07-28,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')",centaurea,7,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
8,8,2020-07-28,daucus-carota,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')",daucus,7,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
9,9,2020-07-28,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')",centaurea,7,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
10,10,2020-07-31,mentha-spicata,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,X,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",mentha,7,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
11,11,2020-07-31,pastinaca-sativa,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,X,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",pastinaca,7,7.252838,47.1358740975452,"survey area from bridge to bend in river; including the grass area sticking out adjascent to bridge.
04-04-2021
07-05-2021",mp,be,madretschkanal,,,,biel
