kingdom,phylum,class,order,family,genus,species,scientificName,verbatimScientificName,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate
Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Hericium erinaceus,Hericium erinaceus (Bull.) Pers.,Hericium erinaceus (Bull.: Fr.) Pers.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2020-10-20T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Sarcodon,Sarcodon squamosus,Sarcodon squamosus (Schaeff.) Quél.,Sarcodon squamosus (Schaeff.) Quél.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10838,7.27395,2022-10-15T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus moelleri,Agaricus praeclaresquamosus A.E.Freeman,Agaricus praeclaresquamosus Freeman,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15324,7.20788,2022-11-07T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Helvella lacunosa,Helvella lacunosa Afzel.,Helvella lacunosa Afz.:Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10826,7.20807,2022-10-31T00:00:00
Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Cryptosphaeria,Cryptosphaeria eunomia,Cryptosphaeria eunomia var. fraxini (Richon) Rappaz,Cryptosphaeria eunomia var. fraxini (Richon) Rappaz,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2022-04-22T00:00:00
Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,Sarcoscypha coccinea,Sarcoscypha coccinea (Jacq.) Lambotte,Sarcoscypha coccinea (Scop.:Fr.) Lamb.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2010-04-02T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Lentinus,Lentinus brumalis,Polyporus brumalis (Pers.) Fr.,Polyporus brumalis (Pers.: Fr.) Fr.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15335,7.27381,2010-04-02T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,Stereum hirsutum,Stereum hirsutum (Willd.) Gray,Stereum hirsutum (Willd.:Fr.) Gray,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2010-05-08T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Melanogaster,Melanogaster broomeanus,Melanogaster broomeanus Berk. ex Tul. & C.Tul.,Melanogaster broomeanus Berk. ex Tul. et Tul.,64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.15343,7.33974,2011-10-21T00:00:00
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus domesticus,"Coprinellus domesticus (Bolton) Vilgalys, Hopple & Jacq.Johnson","Coprinellus domesticus (Bolton: Fr.) Vilgalys, Hopple & Johnson",64ee55c9-570a-42af-b7da-3f13c6b4e5a9,47.10826,7.20807,2010-04-18T00:00:00
