decimalLatitude,decimalLongitude,species,kingdom
47.15335,7.27381,Oxythyrea funesta,Animalia
47.15335,7.27381,Stenomax aeneus,Animalia
47.15335,7.27381,Cetonia aurata,Animalia
47.15335,7.27381,Cicindela campestris,Animalia
47.15335,7.27381,Amara aenea,Animalia
47.15335,7.27381,Oxythyrea funesta,Animalia
47.15335,7.27381,Tropinota hirta,Animalia
47.15335,7.27381,Cantharis rustica,Animalia
47.15335,7.27381,Harmonia axyridis,Animalia
47.15335,7.27381,Pyrochroa serraticornis,Animalia
47.15335,7.27381,Carabus violaceus,Animalia
47.15335,7.27381,Astragalus glycyphyllos,Plantae
47.15335,7.27381,Fagus sylvatica,Plantae
47.15335,7.27381,Primula veris,Plantae
47.10838,7.27395,Portulaca oleracea,Plantae
47.15335,7.27381,Briza media,Plantae
47.10838,7.27395,Maianthemum bifolium,Plantae
47.10838,7.27395,Coronilla varia,Plantae
47.15335,7.27381,Poterium sanguisorba,Plantae
47.10838,7.27395,Plantago major,Plantae
47.10838,7.27395,Agrimonia eupatoria,Plantae
47.15335,7.27381,Delphinium ajacis,Plantae
47.15335,7.27381,Epipactis muelleri,Plantae
47.15335,7.27381,Acer opalus,Plantae
47.15335,7.27381,Pastinaca sativa,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.10838,7.27395,Prenanthes purpurea,Plantae
47.10838,7.27395,Aegopodium podagraria,Plantae
47.15335,7.27381,Malva alcea,Plantae
47.15335,7.27381,Crataegus laevigata,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.15335,7.27381,Melica ciliata,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Hedera helix,Plantae
47.10838,7.27395,Asplenium ruta-muraria,Plantae
47.10838,7.27395,Dryopteris cambrensis,Plantae
47.15335,7.27381,Linaria vulgaris,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Arabis alpina,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Carex sylvatica,Plantae
47.15335,7.27381,Ligustrum vulgare,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Euonymus europaeus,Plantae
47.15335,7.27381,Centaurium erythraea,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Sagina procumbens,Plantae
47.15335,7.27381,Lunaria rediviva,Plantae
47.15335,7.27381,Ranunculus bulbosus,Plantae
47.15335,7.27381,Salvia pratensis,Plantae
47.10838,7.27395,Carex pendula,Plantae
47.10838,7.27395,Dryopteris carthusiana,Plantae
47.15335,7.27381,Mycelis muralis,Plantae
47.15335,7.27381,Cephalanthera rubra,Plantae
47.15335,7.27381,Aria edulis,Plantae
47.15335,7.27381,Tilia platyphyllos,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Neottia nidus-avis,Plantae
47.15335,7.27381,Dactylis glomerata,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.10838,7.27395,Lolium perenne,Plantae
47.10838,7.27395,Ulmus laevis,Plantae
47.10838,7.27395,Alopecurus pratensis,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.15335,7.27381,Daucus carota,Plantae
47.15335,7.27381,Euphorbia dulcis,Plantae
47.15335,7.27381,Cephalanthera damasonium,Plantae
47.15335,7.27381,Geranium pyrenaicum,Plantae
47.10838,7.27395,Kickxia spuria,Plantae
47.15335,7.27381,Cardamine impatiens,Plantae
47.15335,7.27381,Torminalis glaberrima,Plantae
47.15335,7.27381,Corylus avellana,Plantae
47.15335,7.27381,Papaver rhoeas,Plantae
47.15335,7.27381,Bromus erectus,Plantae
47.15335,7.27381,Rosa arvensis,Plantae
47.15335,7.27381,Avenula pubescens,Plantae
47.10838,7.27395,Dryopteris carthusiana,Plantae
47.10838,7.27395,Athyrium filix-femina,Plantae
47.15335,7.27381,Acer platanoides,Plantae
47.15335,7.27381,Primula veris,Plantae
47.15335,7.27381,Arabis alpina,Plantae
47.15335,7.27381,Melica nutans,Plantae
47.15335,7.27381,Lamium galeobdolon,Plantae
47.15335,7.27381,Ligustrum vulgare,Plantae
47.15335,7.27381,Isatis tinctoria,Plantae
47.15335,7.27381,Cardamine amara,Plantae
