N°,Nom scientifique,Nom français,Priorité
53,Polygalo chamaebuxi-Piceetum,Pessière à Polygale petit buis,2
53*,Erico-Piceetum,Pessière à Bruyère,2
59,Larici-Pinetum cembrae,Arolière à Rhododendron,4
59*,Rhododendro ferruginei-Laricetum,Mélézin à Rhododendron,4
59S,Seslerio-Laricetum,Mélézin à Seslérie,1
59C,Cotoneastro-Pinetum cembrae,Arolière à Cotonéaster,2
59J,Junipero-Laricetum,Mélézin à Genévrier,4
61,Molinio-Pinetum,Pineraie à Molinie,1
62,Cephalanthero-Pinetum,Pineraie à Orchidées,2
63,Cirsio tuberosi-Pinetum mugo,Pineraie de montagne à Cirse,1
64,Cytiso-Pinetum,Pineraie à Cytise,1
65,Coronillo-Pinetum,Pineraie à Coronille,1
65,Erico-Pinetum,Pineraie à Bruyère,4
65,Fraxino-Pinetum,Pineraie à Frêne,2
65**,Odontito-Pinetum,Pineraie à Odontite,1
65*,Ononido-Pinetum,Pineraie à Bugrane,4
66,Pyrolo- und Ligustro-Pinetum,Pineraie à Pyrole et Troène,1
67,Erico-Pinetum mugo,Pineraie de montagne à Bruyère,4
67*,"Carici humilis-Pinetum engadinensis",Pineraie à Laiche humble,1
68,Calluno-Pinetum,Pineraie à Callune,2
68*,Avenello-Pinetum,Pineraie à Canche flexueuse,1
68**,Vaccinio vitis-ideae-Pinetum,Pineraie à airelle,3
69,"Rhododendro hirsuti-Pinetummugo","Pineraie de montagne à Rhododendroncilié",2
70,"Rhododendro ferruginei-Pinetummugo","Pineraie de montagne à Rhododendron ferrugineux", 2
101,Nardo-Callunetea, Patûrages boisés du Tessin,0
102,"Nardo-Callunetea (FestucoBrometea)",Châtaigneraies,0
