"Species","Family","N5","Last year","Map"
"Barbastella barbastellus  (Schreber, 1774)","Vespertilionidae","585220","2022","Show (ancien)"
"Eptesicus nilssonii  (Keyserling & Blasius, 1839)","Vespertilionidae","585220","2020","Show (ancien)"
"Miniopterus schreibersii  (Kuhl, 1817)","Miniopteridae","585220","1965","Show (ancien)"
"Myotis daubentonii  (Kuhl, 1817)","Vespertilionidae","585220","2014","Show (ancien)"
"Myotis myotis  (Borkhausen, 1797)","Vespertilionidae","585220","2022","Show (ancien)"
"Myotis myotis/blythii aggr.","Vespertilionidae","585220","1986","Show (ancien)"
"Myotis nattereri  (Kuhl, 1817)","Vespertilionidae","585220","1986","Show (ancien)"
"Nyctalus leisleri  (Kuhl, 1817)","Vespertilionidae","585220","1993","Show (ancien)"
"Nyctalus noctula  (Schreber, 1774)","Vespertilionidae","585220","1986","Show (ancien)"
"Pipistrellus kuhlii  (Kuhl, 1817)","Vespertilionidae","585220","2021","Show (ancien)"
"Pipistrellus nathusii  (Keyserling & Blasius, 1839)","Vespertilionidae","585220","2018","Show (ancien)"
"Pipistrellus pipistrellus  (Schreber, 1774)","Vespertilionidae","585220","2022","Show (ancien)"
"Pipistrellus pipistrellus/pygmaeus aggr.","Vespertilionidae","585220","2003","Show (ancien)"
"Plecotus auritus  (Linnaeus, 1758)","Vespertilionidae","585220","2022","Show (ancien)"
