Ecosystem D,Ecosystem F,Ecosystem I,Scientific name,Typo_CH,Deutsch,Français,Italiano,Prio,RL,Resp,MeasNeed,NaiS
Buchenwälder,Hêtraies,Fagion silvaticae,01 Luzulo sylvaticae-Fagetum ,6.2.2,Hainsimsen-Buchenwald,Hêtraie à luzule des bois ,Faggeta a Luzula sylvatica,0,LC,0,0,"1,1h"
Buchenwälder,Hêtraies,Fagion silvaticae,02 Luzulo sylvaticae-Fagetum leucobryetosum,6.2.2,Weissmoos-Buchenwald,Hêtraie à luzule des bois avec Leucobryum ,Faggeta Luzula sylvatica con Leucobryum,3,EN,0,0,-
Buchenwälder,Hêtraies,Fagion silvaticae,03 Luzulo niveae-Fagetum  ,6.2.2,Schneehainsimsen-Buchenwald,Hêtraie à luzule blanc-de-neige ,Faggeta a Luzula nivea,0,LC,0,0,"3, 3VL, mL"
Buchenwälder,Hêtraies,Fagion silvaticae,03* Illici-Fagetum ,6.2.3.1,Stechpalmen-Buchenwald,Hêtraie à houx,Faggete ad agrifoglio,4,VU,0,0,"3VL, 3mL-4L"
Buchenwälder,Hêtraies,Fagion silvaticae,03** Rhododendro-Fagetum ,6.2.3.1,Alpenrosen-Buchenwald,Hêtraie à rhododendron,Faggeta a rododendro,4,VU,0,0,
Buchenwälder,Hêtraies,Fagion silvaticae,04 Luzulo niveae-Fagetum dryopteridetosum ,6.2.2,Farnreicher Schneeh.-Buchenwald,Hêtraie à luzule blanc-de-neige riche en fougères ,Faggeta a Luzula nivea con felci,0,NT,0,0,"4, 4L"
Buchenwälder,Hêtraies,Fagion silvaticae,06 Galio-Fagetum luzuletosum ,6.2.3,Hains.-Waldmeister-Buchenwald,Hêtraie à asperule avec luzule,Faggeta ad asperula con erba lucciola,0,LC,0,0,-
Buchenwälder,Hêtraies,Fagion silvaticae,07 Galio-Fagetum ,6.2.3,Waldmeister-Buchenwald,Hêtraie à asperule ,Faggeta ad asperula,0,LC,0,0,"7a, S"
Buchenwälder,Hêtraies,Fagion silvaticae,07* Galio-Fagetum blechnetosum,6.2.3,Rippenfarn-Buchenwald,Hêtraie à asperule avec Blechnum spicant,Faggeta ad asperula con Blechnum spicant,0,LC,0,0,-
Buchenwälder,Hêtraies,Fagion silvaticae,08 Milio-Fagetum ,6.2.4,Waldhirsen-Buchenwald,Hêtraie à millet typique,Faggeta a miglio selvatico,0,LC,0,0,"8a, S"
Buchenwälder,Hêtraies,Fagion silvaticae,08* Milio-Fagetum blechnetosum ,6.2.4,Rippenfarn-Waldhirsen-Buchenwald,Hêtraie à millet avec Blechnum spicant,Faggeta a miglio selvatico con Blechnum spicant,0,LC,1,0,8*
Buchenwälder,Hêtraies,Fagion silvaticae,09 Pulmonario-/Lathyro-Fagetum ,6.2.3,Lungenkraut-/Platterbs.-Buchenwald,Hêtraie à pulmonaire typique/Hêtraie à gesse printainière typique,Faggeta a polmonaria / a Lathyrus vernus,0,LC,0,0,"9a,w"
Buchenwälder,Hêtraies,Fagion silvaticae,10 Melitto-Fagetum  ,6.2.3,Immenblatt-Buchenwald,Hêtraie à mélitte,Faggeta a Melittis,0,LC,0,0,"10a,w"
Buchenwälder,Hêtraies,Fagion silvaticae,11 Aro-Fagetum ,6.2.3,Aronstab-Buchenwald,Hêtraie à gouet,Faggeta a gigaro scuro,0,LC,1,0,11
Buchenwälder,Hêtraies,Fagion silvaticae,12 Cardamino-Fagetum ,6.2.4,Zahnwurz-Buchenwald,Hêtraie à dentaire typique,Faggeta a dentaria,0,LC,2,0,"12a,S,e,w"
Buchenwälder,Hêtraies,Fagion silvaticae,12* Cardamino-Fagetum cyclametosum ,6.2.4,Südalpiner Zahnwurz-Buchenwald,Hêtraie insubrienne sur calcaire,Faggeta insubriche su calcare,4,VU,0,0,"12*, 12*h"
Buchenwälder,Hêtraies,Fagion silvaticae,13 Tilio-Fagetum ,6.2.4,Linden-Buchenwald,Hêtraie à tilleuil typique,Faggeta a tiglio,0,LC,1,0,"13a,e"
Buchenwälder,Hêtraies,Fagion silvaticae,13* Adenostylo-Fagetum,6.2.4,Alpendost-Buchenwald,Hêtraie à adénostyle,Faggeta ad Adenostyles,3,VU,1,0,"13h,eh"
Buchenwälder,Hêtraies,Fagion silvaticae,14 Carici-Fagetum ,6.2.1,Weissseggen-Buchenwald,Hêtraie à laiche blanche typique,Faggeta a Carex alba,0,LC,1,0,"14, 14*"
Buchenwälder,Hêtraies,Fagion silvaticae,15 Carici-Fagetum caricetosum montanae ,6.2.1,Bergseggen-Buchenwald,Hêtraie à laiches avec laiche des montagnes,Faggeta a Carex alba con Carex montana,0,LC,1,0,15
Buchenwälder,Hêtraies,Fagion silvaticae,16 Seslerio-Fagetum ,6.2.1,Blaugras-Buchenwald,Hêtraie à seslérie,Faggeta insubrica a sesleria,4,NT,2,1,16
Buchenwälder,Hêtraies,Fagion silvaticae,17 Taxo-Fagetum ,6.2.1,Eiben-Buchenwald,Hêtraie à if,Faggeta a tasso,0,LC,1,0,17
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,18 Festuco-Abieti-Fagetum ,6.2.5,Waldschwingel-Tannen-Buchenwald,Hêtraie à sapin typique,Abieti-faggeta a festuca dei boschi,0,LC,1,0,18
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,18* Adenostylo glabrae-Abieti-Fagetum ,6.2.5,Kalkreicher Tannen-Buchenwald,Hêtraie à sapin avec adénostyle glabre typique,Abieti-faggeta ad Adenostyles glabra,0,LC,0,0,"18*,18M,W,V"
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,19 Luzulo silvaticae-Abieti-Fagetum ,6.2.5,Hainsimsen-Tannen-Buchenwald,Hêtraie à sapin avec luzule des forêts typique ,Abieti-faggete a erba lucciola,0,LC,0,0,"19,19f,L"
Tannen-Buchenwälder,Hêtraies à sapin,Fagion silvaticae,19* Laburno-Abieti-Fagetum ,6.2.5,Goldregen-Tannen-Buchenwald,Hêtraie à sapin avec aubours,Abieti-faggeta a maggiociondolo,1,EN,2,0,19L
