,date,species,year,biogeo,canton,river,lot,forest,project,city,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date,genus,month
0,2020-09-02,plantago-lanceolata,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",plantago,9
1,2020-09-02,centaurea-nigra,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,ns,X,X,X,X,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",centaurea,9
2,2020-09-02,plantago-media,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",plantago,9
3,2020-09-02,chenopodium-album,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Amaranthaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",chenopodium,9
4,2020-09-02,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",centaurea,9
5,2020-09-02,veronica-persica,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",veronica,9
6,2020-09-02,geranium-pyrenaicum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-09-02')",geranium,9
7,2020-07-28,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')",centaurea,7
8,2020-07-28,daucus-carota,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')",daucus,7
9,2020-07-28,centaurea-jacea,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-28')",centaurea,7
10,2020-07-31,mentha-spicata,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,X,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",mentha,7
11,2020-07-31,pastinaca-sativa,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,X,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",pastinaca,7
12,2020-07-31,galium-mollugo,1,mp,be,madretschkanal,X,X,X,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",galium,7
13,2020-07-31,trifolium-pratense,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",trifolium,7
14,2020-07-31,daucus-carota,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-1,"('alleestrasse-madretschkanal-1', '2020-07-31')",daucus,7
15,2020-06-16,achillea-millefolium,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')",achillea,6
16,2020-06-16,sedum-album,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Crassulaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')",sedum,6
17,2020-06-16,chaerophyllum-hirsutum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Apiaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')",chaerophyllum,6
18,2020-06-16,erigeron-annuus,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '16.06.2020')",erigeron,6
19,2020-07-31,epilobium-hirsutum,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Onagraceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-2,"('alleestrasse-madretschkanal-2', '2020-07-31')",epilobium,7
20,2020-06-06,verbascum-thapsus,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Scrophulariaceae,X,X,X,X,X,X,X,X,biel,alleestrasse-madretschkanal-3,"('alleestrasse-madretschkanal-3', '06.06.2020')",verbascum,6
21,2020-06-16,trifolium-pratense,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-3,"('alleestrasse-madretschkanal-3', '16.06.2020')",trifolium,6
22,2020-06-06,silene-pratensis,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,alleestrasse-madretschkanal-3,"('alleestrasse-madretschkanal-3', '06.06.2020')",silene,6
23,2020-06-06,silene-dichotoma,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,X,alleestrasse-madretschkanal-3,"('alleestrasse-madretschkanal-3', '06.06.2020')",silene,6
24,2020-07-11,verbena-bonariensis,1,mp,be,madretschkanal,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,X,alleestrasse-madretschkanal-3,"('alleestrasse-madretschkanal-3', '11.07.2020')",verbena,7
25,2020-06-16,achillea-millefolium,1,mp,be,madretschkanal,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,alleestrasse-madretschkanal-3,"('alleestrasse-madretschkanal-3', '16.06.2020')",achillea,6
26,2020-08-13,clinopodium-vulgare,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",clinopodium,8
27,2020-08-13,centaurea-jacea,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",centaurea,8
29,2020-08-13,scabiosa-columbaria,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",scabiosa,8
30,2020-08-13,silene-pratensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",silene,8
31,2020-08-13,trifolium-pratense,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",trifolium,8
32,2020-08-13,trifolium-repens,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",trifolium,8
33,2020-08-13,silene-vulgaris,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",silene,8
34,2020-08-13,silene-pratensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",silene,8
35,2020-08-13,epilobium-hirsutum,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Onagraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",epilobium,8
36,2020-08-13,crepis-capillaris,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",crepis,8
37,2020-08-13,melilotus-albus,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",melilotus,8
38,2020-08-13,erigeron-annuus,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",erigeron,8
39,2020-08-13,veronica-persica,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",veronica,8
40,2020-08-13,malva-neglecta,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Malvaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",malva,8
41,2020-08-13,cirsium-arvense,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",cirsium,8
42,2020-08-13,calystegia-sepium,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Convolvulaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",calystegia,8
43,2020-08-13,galium-mollugo,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",galium,8
44,2020-08-13,brassica-napus,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,X,X,X,X,ni,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",brassica,8
45,2020-08-13,silene-pratensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",silene,8
46,2020-08-13,lotus-corniculatus,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",lotus,8
47,2020-08-13,trifolium-pratense,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",trifolium,8
48,2020-08-13,medicago-varia,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,Fabaceae,X,X,X,X,ns,X,X,X,X,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')",medicago,8
49,2020-07-10,hypericum-perforatum,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '10.07.2020')",hypericum,7
50,2020-06-12,tragopogon-pratensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,1,4,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",tragopogon,6
51,2020-06-12,geranium-pyrenaicum,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",geranium,6
52,2020-06-12,knautia-arvensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",knautia,6
53,2020-06-12,centaurea-jacea,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,2,3,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",centaurea,6
54,2020-06-12,galium-mollugo,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",galium,6
55,2020-06-12,leucanthemum-vulgare,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",leucanthemum,6
56,2020-06-12,vicia-sepium,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')",vicia,6
57,2020-06-28,tragopogon-pratensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,1,4,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')",tragopogon,6
58,2020-06-28,senecio-inaequidens,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,bluets-3,"('bluets-3', '28.06.2020')",senecio,6
59,2020-06-28,knautia-arvensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')",knautia,6
60,2020-06-28,medicago-sativa,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')",medicago,6
61,2020-06-28,dianthus-carthusianorum,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,NT,NT,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,bluets-3,"('bluets-3', '28.06.2020')",dianthus,6
62,2020-06-28,mentha-longifolia,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel,bluets-3,"('bluets-3', '28.06.2020')",mentha,6
63,2020-06-28,lapsana-communis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')",lapsana,6
64,2020-06-28,galium-mollugo,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')",galium,6
65,2020-06-28,erigeron-annuus,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')",erigeron,6
66,2020-06-09,medicago-lupulina,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",medicago,6
67,2020-06-09,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",cichorium,6
68,2020-06-09,potentilla-reptans,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",potentilla,6
69,2020-06-09,papaver-rhoeas,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",papaver,6
70,2020-06-09,hypericum-maculatum,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",hypericum,6
71,2020-06-09,trifolium-pratense,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",trifolium,6
72,2020-06-09,erigeron-annuus,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",erigeron,6
73,2020-06-09,medicago-lupulina,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')",medicago,6
74,2020-06-18,medicago-lupulina,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",medicago,6
75,2020-06-18,arenaria-serpyllifolia,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",arenaria,6
76,2020-06-18,crepis-capillaris,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",crepis,6
77,2020-06-18,acinos-arvensis,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",acinos,6
78,2020-06-18,trifolium-pratense,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",trifolium,6
79,2020-06-18,crepis-capillaris,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",crepis,6
80,2020-06-18,potentilla-reptans,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",potentilla,6
81,2020-06-18,senecio-inaequidens,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",senecio,6
82,2020-06-18,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",cichorium,6
83,2020-06-18,erigeron-annuus,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')",erigeron,6
84,2020-09-03,lavandula-angustifolia,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,X,X,X,X,ni,X,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",lavandula,9
85,2020-09-03,eupatorium-cannabinum,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",eupatorium,9
86,2020-09-03,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",cichorium,9
87,2020-09-03,vicia-sepium,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",vicia,9
88,2020-09-03,trifolium-pratense,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",trifolium,9
89,2020-09-03,lotus-corniculatus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",lotus,9
90,2020-09-03,solidago-canadensis,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,ODE,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",solidago,9
91,2020-09-03,hypericum-perforatum,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",hypericum,9
92,2020-09-03,senecio-inaequidens,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",senecio,9
93,2020-09-03,hypericum-perforatum,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",hypericum,9
94,2020-09-03,epilobium-dodonaei,1,mp,be,suze,X,X,X,biel,NT,NT,NT,Onagraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')",epilobium,9
