"Species","Family","N5","Last year","Map"
"Abrostola asclepiadis  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1979","Show (ancien)"
"Abrostola triplasia  (Linnaeus, 1758)","Noctuidae","585215","1915","Show (ancien)"
"Acherontia atropos  (Linnaeus, 1758)","Sphingidae","585215","1982","Show (ancien)"
"Acronicta aceris  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Acronicta euphorbiae  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1911","Show (ancien)"
"Acronicta leporina  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Acronicta psi  (Linnaeus, 1758)","Noctuidae","585215","1981","Show (ancien)"
"Acronicta rumicis  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Actinotia polyodon  (Clerck, 1759)","Noctuidae","585215","1912","Show (ancien)"
"Adela reaumurella  (Linnaeus, 1758)","Adelidae","585215","2019","Show (ancien)"
"Aedia funesta  (Esper, 1786)","Noctuidae","585215","2022","Show (ancien)"
"Aglia tau  (Linnaeus, 1758)","Saturniidae","585215","1979","Show (ancien)"
"Agrius convolvuli  (Linnaeus, 1758)","Sphingidae","585215","2023","Show (ancien)"
"Agrochola circellaris  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Agrochola lota  (Clerck, 1759)","Noctuidae","585215","2022","Show (ancien)"
"Agrotis exclamationis  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Agrotis ipsilon  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Agrotis segetum  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Allophyes oxyacanthae  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Ammoconia caecimacula  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1909","Show (ancien)"
"Amphipoea oculea  (Linnaeus, 1761)","Noctuidae","585215","1979","Show (ancien)"
"Amphipyra pyramidea  (Linnaeus, 1758)","Noctuidae","585215","1981","Show (ancien)"
"Antitype chi  (Linnaeus, 1758)","Noctuidae","585215","1979","Show (ancien)"
"Apamea crenata  (Hufnagel, 1766)","Noctuidae","585215","1979","Show (ancien)"
"Apamea lithoxylaea  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Apamea monoglypha  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Apamea scolopacina  (Esper, 1788)","Noctuidae","585215","1912","Show (ancien)"
"Apamea sordens  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Apamea unanimis  (Hübner, 1813)","Noctuidae","585215","1913","Show (ancien)"
"Arctia caja  (Linnaeus, 1758)","Erebidae, Arctiinae","585215","1912","Show (ancien)"
"Atolmis rubricollis  (Linnaeus, 1758)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Autographa gamma  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Axylia putris  (Linnaeus, 1761)","Noctuidae","585215","2022","Show (ancien)"
"Bembecia ichneumoniformis  (Denis & Schiffermüller, 1775)","Sesiidae","585215","1996","Show (ancien)"
"Blepharita satura  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1909","Show (ancien)"
"Brachylomia viminalis  (Fabricius, 1776)","Noctuidae","585215","1979","Show (ancien)"
"Bruandia comitella  (Bruand, 1853)","Psychidae","585215","1978","Show (ancien)"
"Callimorpha dominula  (Linnaeus, 1758)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Calliteara pudibunda  (Linnaeus, 1758)","Erebidae, Lymantriinae","585215","1910","Show (ancien)"
"Callopistria juventina  (Stoll, 1782)","Noctuidae","585215","1930","Show (ancien)"
"Calophasia lunula  (Hufnagel, 1766)","Noctuidae","585215","1995","Show (ancien)"
"Catocala electa  (Vieweg, 1790)","Erebidae","585215","1911","Show (ancien)"
"Catocala fraxini  (Linnaeus, 1758)","Erebidae","585215","1909","Show (ancien)"
"Catocala nupta  (Linnaeus, 1767)","Erebidae","585215","1984","Show (ancien)"
"Cauchas fibulella  (Denis & Schiffermüller, 1775)","Adelidae","585215","1973","Show (ancien)"
"Cerastis rubricosa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1979","Show (ancien)"
"Cerura vinula  (Linnaeus, 1758)","Notodontidae","585215","1910","Show (ancien)"
"Chamaesphecia empiformis  (Esper, 1783)","Sesiidae","585215","1996","Show (ancien)"
"Charanyca trigrammica  (Hufnagel, 1766)","Noctuidae","585215","1912","Show (ancien)"
"Cilix glaucata  (Scopoli, 1763)","Drepanidae","585215","1981","Show (ancien)"
"Clostera pigra  (Hufnagel, 1766)","Notodontidae","585215","1979","Show (ancien)"
"Colocasia coryli  (Linnaeus, 1758)","Noctuidae, Pantheinae","585215","2023","Show (ancien)"
"Conistra erythrocephala  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2023","Show (ancien)"
"Conistra ligula  (Esper, 1791)","Noctuidae","585215","2022","Show (ancien)"
"Conistra rubiginea  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2023","Show (ancien)"
"Conistra rubiginosa  (Scopoli, 1763)","Noctuidae","585215","2022","Show (ancien)"
"Conistra vaccinii  (Linnaeus, 1761)","Noctuidae","585215","2022","Show (ancien)"
"Cosmia pyralina  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1913","Show (ancien)"
"Cosmia trapezina  (Linnaeus, 1758)","Noctuidae","585215","1981","Show (ancien)"
"Cossus cossus  (Linnaeus, 1758)","Cossidae","585215","2022","Show (ancien)"
"Craniophora ligustri  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Cryphia domestica  (Hufnagel, 1766)","Noctuidae","585215","1979","Show (ancien)"
"Cryphia muralis  (Forster, 1771)","Noctuidae","585215","1996","Show (ancien)"
"Cucullia absinthii  (Linnaeus, 1761)","Noctuidae","585215","1993","Show (ancien)"
"Cucullia asteris  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1909","Show (ancien)"
"Dahlica lichenella lichenella f. parth. (Linnaeus, 1761)","Psychidae","585215","1978","Show (ancien)"
"Deilephila elpenor  (Linnaeus, 1758)","Sphingidae","585215","1992","Show (ancien)"
"Deilephila porcellus  (Linnaeus, 1758)","Sphingidae","585215","2022","Show (ancien)"
"Diachrysia chrysitis  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Diachrysia chryson  (Esper, 1789)","Noctuidae","585215","1911","Show (ancien)"
"Diaphora mendica  (Clerck, 1759)","Erebidae, Arctiinae","585215","1979","Show (ancien)"
"Diarsia brunnea  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1979","Show (ancien)"
"Diplodoma laichartingella  (Goeze, 1783)","Psychidae","585215","2002","Show (ancien)"
"Discestra trifolii  (Hufnagel, 1766)","Noctuidae","585215","1979","Show (ancien)"
"Drymonia dodonaea  (Denis & Schiffermüller, 1775)","Notodontidae","585215","1980","Show (ancien)"
"Dysgonia algira  (Linnaeus, 1767)","Erebidae","585215","2022","Show (ancien)"
"Egira conspicillaris  (Linnaeus, 1758)","Noctuidae","585215","2023","Show (ancien)"
"Eilema caniola  (Hübner, 1808)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Eilema depressa  (Esper, 1787)","Erebidae, Arctiinae","585215","1981","Show (ancien)"
"Eilema lurideola  (Zincken, 1817)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Eilema sororcula  (Hufnagel, 1766)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Eriogaster lanestris  (Linnaeus, 1758)","Lasiocampidae","585215","1950","Show (ancien)"
"Euclidia glyphica  (Linnaeus, 1758)","Erebidae","585215","2022","Show (ancien)"
"Eugnorisma depuncta  (Linnaeus, 1761)","Noctuidae","585215","2022","Show (ancien)"
"Euplagia quadripunctaria  (Poda, 1761)","Erebidae, Arctiinae","585215","2022","Show (ancien)"
"Euplexia lucipara  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Euproctis chrysorrhoea  (Linnaeus, 1758)","Erebidae, Lymantriinae","585215","1910","Show (ancien)"
"Eupsilia transversa  (Hufnagel, 1766)","Noctuidae","585215","2023","Show (ancien)"
"Gortyna flavago  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1912","Show (ancien)"
"Habrosyne pyritoides  (Hufnagel, 1766)","Drepanidae","585215","2022","Show (ancien)"
"Hada plebeja  (Linnaeus, 1761)","Noctuidae","585215","2022","Show (ancien)"
"Hadena compta  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hadena magnolii  (Boisduval, 1829)","Noctuidae","585215","1979","Show (ancien)"
"Hadena rivularis  (Fabricius, 1775)","Noctuidae","585215","1909","Show (ancien)"
"Helicoverpa armigera  (Hübner, 1808)","Noctuidae","585215","2022","Show (ancien)"
"Heliothis peltigera  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hemaris fuciformis  (Linnaeus, 1758)","Sphingidae","585215","2023","Show (ancien)"
"Hepialus humuli  (Linnaeus, 1758)","Hepialidae","585215","1980","Show (ancien)"
"Herminia grisealis  (Denis & Schiffermüller, 1775)","Erebidae","585215","1979","Show (ancien)"
"Herminia tarsicrinalis  (Knoch, 1782)","Erebidae","585215","2022","Show (ancien)"
"Hoplodrina ambigua  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hoplodrina octogenaria  (Goeze, 1781)","Noctuidae","585215","1979","Show (ancien)"
"Hoplodrina respersa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Hyles livornica  (Esper, 1780)","Sphingidae","585215","2022","Show (ancien)"
"Hyloicus pinastri  (Linnaeus, 1758)","Sphingidae","585215","2022","Show (ancien)"
"Hypena proboscidalis  (Linnaeus, 1758)","Erebidae","585215","2022","Show (ancien)"
"Hypena rostralis  (Linnaeus, 1758)","Erebidae","585215","2022","Show (ancien)"
"Ipimorpha retusa  (Linnaeus, 1761)","Noctuidae","585215","1912","Show (ancien)"
"Ipimorpha subtusa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","1913","Show (ancien)"
"Korscheltellus lupulina  (Linnaeus, 1758)","Hepialidae","585215","2022","Show (ancien)"
"Lacanobia oleracea  (Linnaeus, 1758)","Noctuidae","585215","2022","Show (ancien)"
"Lacanobia suasa  (Denis & Schiffermüller, 1775)","Noctuidae","585215","2022","Show (ancien)"
"Lacanobia thalassina  (Hufnagel, 1766)","Noctuidae","585215","1979","Show (ancien)"
"Lacanobia w-latinum  (Hufnagel, 1766)","Noctuidae","585215","2022","Show (ancien)"
"Lasiocampa quercus  (Linnaeus, 1758)","Lasiocampidae","585215","2022","Show (ancien)"
"Laspeyria flexula  (Denis & Schiffermüller, 1775)","Erebidae","585215","2022","Show (ancien)"
