Group,Scientific Name,French Name,Red List Status,Priority in Switzerland
Papillons diurnes et Zygaenidae,Limenitis populi,Grand sylvain,VU,4
Papillons diurnes et Zygaenidae,Lopinga achine,Bacchante,EN,2
Macrolépidoptères et sésies,Endromis versicolora,Bombyx versicolore,EN (2),3
Macrolépidoptères et sésies,Eriogaster catax,Bombyx Evérie,CR (1),2
Macrolépidoptères et sésies,Gastropacha populifolia,Feuille-morte du peuplier,CR (1),1
Macrolépidoptères et sésies,Odonestis pruni,Feuille-morte du prunier,EN (2),3
Macrolépidoptères et sésies,Orgyia recens,Soucieuse,CR (1),1
Amphibiens,Bombina variegata,Sonneur à ventre jaune,EN,3
Amphibiens,Lissotriton helveticus,Triton palmé,VU,4
Amphibiens,Rana dalmatina,Grenouille agile,EN,3
Amphibiens,Rana latastei,Grenouille de Lataste,VU,4
Amphibiens,Salamandra salamandra,Salamandre tachetée,VU,4
Amphibiens,Triturus carnifex,Triton crêté italien,EN,3
Amphibiens,Triturus cristatus,Triton crêté,EN,3
Reptiles,Coronella austriaca,Coronelle lisse,VU,4
Reptiles,Natrix helvetica,"Couleuvre à collier hel-
vétique",VU,3
Reptiles,Natrix natrix,"Couleuvre à collier 
nordique",EN,3
Reptiles,Vipera aspis,Vipère aspic,VU,2
Reptiles,Vipera berus,Vipère péliade,EN,3
Reptiles,Zamenis longissimus,Couleuvre d’Esculape,EN,3
Chiroptères,Barbastella barbastellus,Barbastelle d'Europe,EN,3
Chiroptères,Eptesicus nilssonii,Sérotine boréale,VU,1
Chiroptères,Eptesicus serotinus,Sérotine commune,VU,1
Chiroptères,Myotis alcathoe,Murin d'Alcathoé,VU,4
Chiroptères,Myotis bechsteinii,Murin de Bechstein,VU,4
Chiroptères,Myotis brandtii,Murin de Brandt,VU,1
Chiroptères,Myotis myotis,Grand murin,VU,1
Chiroptères,Plecotus auritus,Oreillard brun,VU,1
Chiroptères,Plecotus macrobullaris,Oreillard alpin,EN,1
Chiroptères,Rhinolophus hipposideros,Petit rhinolophe,EN,1
Oiseaux,Bonasa bonasia,Gélinotte des bois,NT,1
Oiseaux,Caprimulgus europaeus,Engoulevent d'Europe,EN,1
Oiseaux,Lyrurus tetrix,Tétras lyre,NT,1
Oiseaux,Phoenicurus phoenicurus,Rougequeue à front blanc,NT,1
Oiseaux,Picus canus,Pic cendré,VU,1
Oiseaux,Scolopax rusticola,Bécasse des bois,VU,1
