,logger,time,temp
189462,208,2022-07-09 00:00:00,
189463,208,2022-07-09 00:10:00,
189464,208,2022-07-09 00:20:00,
189465,208,2022-07-09 00:30:00,
189466,208,2022-07-09 00:40:00,
189467,208,2022-07-09 00:50:00,
189468,208,2022-07-09 01:00:00,
189469,208,2022-07-09 01:10:00,
189470,208,2022-07-09 01:20:00,
189471,208,2022-07-09 01:30:00,
189472,208,2022-07-09 01:40:00,
189473,208,2022-07-09 01:50:00,
189474,208,2022-07-09 02:00:00,
189475,208,2022-07-09 02:10:00,
189476,208,2022-07-09 02:20:00,
189477,208,2022-07-09 02:30:00,
189478,208,2022-07-09 02:40:00,
189479,208,2022-07-09 02:50:00,
189480,208,2022-07-09 03:00:00,
189481,208,2022-07-09 03:10:00,
189482,208,2022-07-09 03:20:00,
189483,208,2022-07-09 03:30:00,
189484,208,2022-07-09 03:40:00,
189485,208,2022-07-09 03:50:00,
189486,208,2022-07-09 04:00:00,
189487,208,2022-07-09 04:10:00,
189488,208,2022-07-09 04:20:00,
189489,208,2022-07-09 04:30:00,
189490,208,2022-07-09 04:40:00,
189491,208,2022-07-09 04:50:00,
189492,208,2022-07-09 05:00:00,
189493,208,2022-07-09 05:10:00,
189494,208,2022-07-09 05:20:00,
189495,208,2022-07-09 05:30:00,
189496,208,2022-07-09 05:40:00,
189497,208,2022-07-09 05:50:00,
189498,208,2022-07-09 06:00:00,
189499,208,2022-07-09 06:10:00,
189500,208,2022-07-09 06:20:00,
189501,208,2022-07-09 06:30:00,
189502,208,2022-07-09 06:40:00,
189503,208,2022-07-09 06:50:00,
189504,208,2022-07-09 07:00:00,
189505,208,2022-07-09 07:10:00,
189506,208,2022-07-09 07:20:00,
189507,208,2022-07-09 07:30:00,
189508,208,2022-07-09 07:40:00,
189509,208,2022-07-09 07:50:00,
189510,208,2022-07-09 08:00:00,
189511,208,2022-07-09 08:10:00,
189512,208,2022-07-09 08:20:00,
189513,208,2022-07-09 08:30:00,
189514,208,2022-07-09 08:40:00,
189515,208,2022-07-09 08:50:00,
189516,208,2022-07-09 09:00:00,
189517,208,2022-07-09 09:10:00,
189518,208,2022-07-09 09:20:00,
189519,208,2022-07-09 09:30:00,
189520,208,2022-07-09 09:40:00,
189521,208,2022-07-09 09:50:00,
189522,208,2022-07-09 10:00:00,
189523,208,2022-07-09 10:10:00,
189524,208,2022-07-09 10:20:00,
189525,208,2022-07-09 10:30:00,
189526,208,2022-07-09 10:40:00,
189527,208,2022-07-09 10:50:00,
189528,208,2022-07-09 11:00:00,
189529,208,2022-07-09 11:10:00,
189530,208,2022-07-09 11:20:00,
189531,208,2022-07-09 11:30:00,
189532,208,2022-07-09 11:40:00,
189533,208,2022-07-09 11:50:00,
189534,208,2022-07-09 12:00:00,
189535,208,2022-07-09 12:10:00,
189536,208,2022-07-09 12:20:00,
189537,208,2022-07-09 12:30:00,
189538,208,2022-07-09 12:40:00,
189539,208,2022-07-09 12:50:00,
189540,208,2022-07-09 13:00:00,
189541,208,2022-07-09 13:10:00,
189542,208,2022-07-09 13:20:00,
189543,208,2022-07-09 13:30:00,
189544,208,2022-07-09 13:40:00,
189545,208,2022-07-09 13:50:00,
189546,208,2022-07-09 14:00:00,
189547,208,2022-07-09 14:10:00,
189548,208,2022-07-09 14:20:00,
189549,208,2022-07-09 14:30:00,
189550,208,2022-07-09 14:40:00,
189551,208,2022-07-09 14:50:00,
189552,208,2022-07-09 15:00:00,
189553,208,2022-07-09 15:10:00,
189554,208,2022-07-09 15:20:00,
189555,208,2022-07-09 15:30:00,
189556,208,2022-07-09 15:40:00,
189557,208,2022-07-09 15:50:00,
189558,208,2022-07-09 16:00:00,
189559,208,2022-07-09 16:10:00,
189560,208,2022-07-09 16:20:00,
189561,208,2022-07-09 16:30:00,
